REGULATING_AGENCY,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CLASSIFICATION,POPULATION,SERVICE_CONNECTIONS,COUNTY,CITY,ZIPCODE,VIOLATION_NUMBER,VIOLATION_TYPE_NAME,ANALYTE_NAME,RESULT,MCL,VIOL_BEGIN_DATE,VIOL_END_DATE,ENF_ACTION_NUMBER,ENF_ACTION_ISSUE_DATE,ENF_ACTION_TYPE_ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611033,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.008 UG/L,0.005 UG/L,7/1/18,9/30/18,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611034,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.171 UG/L,0.005 UG/L,7/1/18,9/30/18,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611035,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.059 UG/L,0.005 UG/L,7/1/18,9/30/18,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611037,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.192 UG/L,0.005 UG/L,10/1/18,12/31/18,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611038,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.043 UG/L,0.005 UG/L,10/1/18,12/31/18,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611039,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.360 UG/L,0.005 UG/L,10/1/18,12/31/18,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611040,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.107 UG/L,0.005 UG/L,10/1/18,12/31/18,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611041,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.603 UG/L,0.005 UG/L,10/1/18,12/31/18,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611042,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.040 UG/L,0.005 UG/L,10/1/18,12/31/18,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611043,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.248 UG/L,0.005 UG/L,10/1/18,12/31/18,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611044,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.086 UG/L,0.005 UG/L,10/1/18,12/31/18,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611045,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.104 UG/L,0.005 UG/L,1/1/19,3/31/19,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611046,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.042 UG/L,0.005 UG/L,1/1/19,3/31/19,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611047,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.335 UG/L,0.005 UG/L,1/1/19,3/31/19,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611048,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.053 UG/L,0.005 UG/L,1/1/19,3/31/19,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611049,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.566 UG/L,0.005 UG/L,1/1/19,3/31/19,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611050,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.280 UG/L,0.005 UG/L,1/1/19,3/31/19,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410004,CITY OF LIVINGSTON,COMMUNITY,14894,3419,MERCED,LIVINGSTON,95334,9611051,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.108 UG/L,0.005 UG/L,1/1/19,3/31/19,9611012,5/2/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410010,WINTON WATER & SANITARY DIST,COMMUNITY,8500,2594,MERCED,WINTON,95388,9611005,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.000008 MG/L,0.000005 MG/L,1/1/18,3/31/18,9611010,5/9/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410010,WINTON WATER & SANITARY DIST,COMMUNITY,8500,2594,MERCED,WINTON,95388,9611006,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.059 UG/L,0.005 UG/L,4/1/18,6/30/18,9611010,5/9/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410010,WINTON WATER & SANITARY DIST,COMMUNITY,8500,2594,MERCED,WINTON,95388,9611007,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.059 UG/L,0.005 UG/L,7/1/18,9/30/18,9611010,5/9/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410010,WINTON WATER & SANITARY DIST,COMMUNITY,8500,2594,MERCED,WINTON,95388,9611008,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.013 UG/L,0.005 UG/L,7/1/18,9/30/18,9611010,5/9/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410010,WINTON WATER & SANITARY DIST,COMMUNITY,8500,2594,MERCED,WINTON,95388,9611009,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.013 UG/L,0.005 UG/L,10/1/18,12/31/18,9611010,5/9/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410010,WINTON WATER & SANITARY DIST,COMMUNITY,8500,2594,MERCED,WINTON,95388,9611010,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.082 UG/L,0.005 UG/L,10/1/18,12/31/18,9611010,5/9/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410010,WINTON WATER & SANITARY DIST,COMMUNITY,8500,2594,MERCED,WINTON,95388,9611011,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.016 UG/L,0.005 UG/L,1/1/19,3/31/19,9611010,5/9/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410010,WINTON WATER & SANITARY DIST,COMMUNITY,8500,2594,MERCED,WINTON,95388,9611012,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.040 UG/L,0.005 UG/L,1/1/19,3/31/19,9611010,5/9/18,CA STATE ACTION ISSUED
DISTRICT 11 - MERCED,CA2410011,LE GRAND COMM SERVICES DIST,COMMUNITY,1700,471,MERCED,LE GRAND,95333,9511010,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.006 UG/L,0.005 UG/L,1/1/19,3/31/19,9711023,5/28/19,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1200015,"MCL, SINGLE SAMPLE",ARSENIC,0.088 MG/L,0.010 MG/L,1/1/12,3/31/12,1200391,2/3/12,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1200015,"MCL, SINGLE SAMPLE",ARSENIC,0.088 MG/L,0.010 MG/L,1/1/12,3/31/12,1600494,3/9/16,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1300016,"MCL, SINGLE SAMPLE",ARSENIC,0.041 MG/L,0.010 MG/L,1/1/13,3/31/13,1200391,2/3/12,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1300016,"MCL, SINGLE SAMPLE",ARSENIC,0.041 MG/L,0.010 MG/L,1/1/13,3/31/13,1600494,3/9/16,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1300017,"MCL,  AVERAGE",ARSENIC,0.041 MG/L,0.010 MG/L,4/1/13,6/30/13,1200391,2/3/12,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1300017,"MCL,  AVERAGE",ARSENIC,0.041 MG/L,0.010 MG/L,4/1/13,6/30/13,1600494,3/9/16,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1500013,"MCL,  AVERAGE",ARSENIC,0.082 MG/L,0.010 MG/L,7/1/15,9/30/15,1600494,3/9/16,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1500013,"MCL,  AVERAGE",ARSENIC,0.082 MG/L,0.010 MG/L,7/1/15,9/30/15,1200391,2/3/12,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1500013,"MCL,  AVERAGE",ARSENIC,0.082 MG/L,0.010 MG/L,7/1/15,9/30/15,1500478,1/19/15,INFORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1500018,"MCL, SINGLE SAMPLE",ARSENIC,0.040 MG/L,0.010 MG/L,10/1/14,12/31/14,1600494,3/9/16,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1500018,"MCL, SINGLE SAMPLE",ARSENIC,0.040 MG/L,0.010 MG/L,10/1/14,12/31/14,1200391,2/3/12,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1500019,"MCL,  AVERAGE",ARSENIC,0.035 MG/L,0.010 MG/L,1/1/15,3/31/15,1200391,2/3/12,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1500019,"MCL,  AVERAGE",ARSENIC,0.035 MG/L,0.010 MG/L,1/1/15,3/31/15,1600494,3/9/16,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1500020,"MCL,  AVERAGE",ARSENIC,0.038 MG/L,0.010 MG/L,4/1/15,6/30/15,1600494,3/9/16,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1500020,"MCL,  AVERAGE",ARSENIC,0.038 MG/L,0.010 MG/L,4/1/15,6/30/15,1200391,2/3/12,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1600021,"MCL,  AVERAGE",ARSENIC,0.070 MG/L,0.010 MG/L,10/1/15,12/31/15,1600494,3/9/16,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1600021,"MCL,  AVERAGE",ARSENIC,0.070 MG/L,0.010 MG/L,10/1/15,12/31/15,1200391,2/3/12,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1600027,"MCL,  AVERAGE",ARSENIC,0.147 MG/L,0.010 MG/L,1/1/16,3/31/16,1200391,2/3/12,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1600028,"MCL,  AVERAGE",ARSENIC,0.221 MG/L,0.010 MG/L,4/1/16,6/30/16,1600494,3/9/16,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1600029,"MCL,  AVERAGE",ARSENIC,0.056 MG/L,0.010 MG/L,7/1/16,9/30/16,1600494,3/9/16,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1600030,"MCL,  AVERAGE",ARSENIC,0.055 MG/L,0.010 MG/L,10/1/16,12/31/16,1600494,3/9/16,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1600032,"MCL,  AVERAGE",ARSENIC,0.053 MG/L,0.010 MG/L,4/1/17,6/30/17,1600494,3/9/16,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1600033,"MCL,  AVERAGE",ARSENIC,0.047 MG/L,0.010 MG/L,7/1/17,9/30/17,1600494,3/9/16,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1600034,"MCL,  AVERAGE",ARSENIC,0.032 MG/L,0.010 MG/L,7/1/17,9/30/17,1600494,3/9/16,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1600051,"MCL,  AVERAGE",ARSENIC,0.050 MG/L,0.010 MG/L,4/1/18,6/30/18,9900019,2/8/19,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1600052,"MCL,  AVERAGE",ARSENIC,0.055 MG/L,0.010 MG/L,7/1/18,9/30/18,9900019,2/8/19,FORMAL ENFORCEMENT ACTION ISSUED
LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,COMMUNITY,84,30,MONO,COLEVILLE,96107,1600053,"MCL,  AVERAGE",ARSENIC,0.062 MG/L,0.010 MG/L,10/1/18,12/31/18,9900019,2/8/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610002,JUNE LAKE PUD VILLAGE,COMMUNITY,2740,295,MONO,JUNE LAKE,93529,9913009,"MCL,  AVERAGE",TOTAL HALOACETIC ACIDS (HAA5),0.075 MG/L, ,4/1/16,6/30/16,9813008,2/7/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610002,JUNE LAKE PUD VILLAGE,COMMUNITY,2740,295,MONO,JUNE LAKE,93529,9913010,"MCL,  AVERAGE",TOTAL HALOACETIC ACIDS (HAA5),0.076 MG/L, ,7/1/16,9/30/16,9813008,2/7/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610002,JUNE LAKE PUD VILLAGE,COMMUNITY,2740,295,MONO,JUNE LAKE,93529,9913011,"MCL,  AVERAGE",TOTAL HALOACETIC ACIDS (HAA5),0.076 MG/L, ,10/1/16,12/31/16,9813008,2/7/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,1213021,"MCL,  AVERAGE",ARSENIC,.02900000 MG/L,0.010 MG/L,1/1/12,3/31/12,9913012,3/6/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,1213021,"MCL,  AVERAGE",ARSENIC,.02900000 MG/L,0.010 MG/L,1/1/12,3/31/12,913027,2/13/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,1213021,"MCL,  AVERAGE",ARSENIC,.02900000 MG/L,0.010 MG/L,1/1/12,3/31/12,9913010,1/3/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,1213022,"MCL,  AVERAGE",ARSENIC,.03100000 MG/L,0.010 MG/L,4/1/12,6/30/12,913027,2/13/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,1213022,"MCL,  AVERAGE",ARSENIC,.03100000 MG/L,0.010 MG/L,4/1/12,6/30/12,9913010,1/3/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,1213022,"MCL,  AVERAGE",ARSENIC,.03100000 MG/L,0.010 MG/L,4/1/12,6/30/12,9913012,3/6/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913004,"MCL,  AVERAGE",ARSENIC,0.028 MG/L,0.010 MG/L,7/1/12,9/30/12,9913012,3/6/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913004,"MCL,  AVERAGE",ARSENIC,0.028 MG/L,0.010 MG/L,7/1/12,9/30/12,9913010,1/3/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913004,"MCL,  AVERAGE",ARSENIC,0.028 MG/L,0.010 MG/L,7/1/12,9/30/12,913027,2/13/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913005,"MCL,  AVERAGE",ARSENIC,0.027 MG/L,0.010 MG/L,10/1/12,12/31/12,913027,2/13/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913005,"MCL,  AVERAGE",ARSENIC,0.027 MG/L,0.010 MG/L,10/1/12,12/31/12,9913010,1/3/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913005,"MCL,  AVERAGE",ARSENIC,0.027 MG/L,0.010 MG/L,10/1/12,12/31/12,9913012,3/6/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913006,"MCL,  AVERAGE",ARSENIC,0.026 MG/L, ,1/1/13,3/31/13,9913012,3/6/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913006,"MCL,  AVERAGE",ARSENIC,0.026 MG/L, ,1/1/13,3/31/13,9913010,1/3/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913006,"MCL,  AVERAGE",ARSENIC,0.026 MG/L, ,1/1/13,3/31/13,913027,2/13/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913007,"MCL,  AVERAGE",ARSENIC,0.026 MG/L, ,4/1/13,6/30/13,9913010,1/3/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913007,"MCL,  AVERAGE",ARSENIC,0.026 MG/L, ,4/1/13,6/30/13,9913012,3/6/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913007,"MCL,  AVERAGE",ARSENIC,0.026 MG/L, ,4/1/13,6/30/13,913027,2/13/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913008,"MCL,  AVERAGE",ARSENIC,0.036 MG/L,0.010 MG/L,7/1/13,9/30/13,9913012,3/6/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913008,"MCL,  AVERAGE",ARSENIC,0.036 MG/L,0.010 MG/L,7/1/13,9/30/13,913027,2/13/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913008,"MCL,  AVERAGE",ARSENIC,0.036 MG/L,0.010 MG/L,7/1/13,9/30/13,9913010,1/3/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913009,"MCL,  AVERAGE",ARSENIC,0.03 MG/L, ,10/1/13,12/31/13,9913012,3/6/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913009,"MCL,  AVERAGE",ARSENIC,0.03 MG/L, ,10/1/13,12/31/13,9913010,1/3/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913009,"MCL,  AVERAGE",ARSENIC,0.03 MG/L, ,10/1/13,12/31/13,913027,2/13/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913010,"MCL,  AVERAGE",ARSENIC,0.032 MG/L,0.010 MG/L,1/1/14,3/31/14,9913012,3/6/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913010,"MCL,  AVERAGE",ARSENIC,0.032 MG/L,0.010 MG/L,1/1/14,3/31/14,9913010,1/3/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913011,"MCL,  AVERAGE",ARSENIC,0.033 MG/L,0.010 MG/L,4/1/14,6/30/14,9913010,1/3/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913011,"MCL,  AVERAGE",ARSENIC,0.033 MG/L,0.010 MG/L,4/1/14,6/30/14,9913012,3/6/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913012,"MCL,  AVERAGE",ARSENIC,0.033 MG/L,0.010 MG/L,7/1/14,9/30/14,9913010,1/3/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 13 - SAN BERNARDINO,CA2610003,BRIDGEPORT PUD,COMMUNITY,850,258,MONO,BRIDGEPORT,93517,9913012,"MCL,  AVERAGE",ARSENIC,0.033 MG/L,0.010 MG/L,7/1/14,9/30/14,9913012,3/6/15,FORMAL ENFORCEMENT ACTION ISSUED
